SourceType,SourceID,TargetType,TargetID,Strength
Institutions,I001,People,P001,1
Institutions,I001,People,P002,1
Institutions,I001,People,P003,1
Institutions,I001,People,P004,1
Institutions,I001,People,P005,1
Institutions,I001,People,P006,1
Institutions,I001,People,P007,1
Institutions,I001,People,P008,1
Institutions,I001,People,P009,1
Institutions,I001,People,P010,1
Institutions,I002,People,P001,1
Institutions,I002,People,P009,1
Institutions,I002,People,P010,1
Institutions,I003,People,P002,1
Institutions,I003,People,P008,1
Institutions,I004,People,P003,1
Institutions,I004,People,P005,1
Institutions,I004,People,P010,1
Institutions,I005,People,P002,1
Institutions,I005,People,P004,1
Institutions,I005,People,P007,1
Institutions,I005,People,P008,1
Institutions,I005,People,P009,1
Institutions,I005,People,P010,1
Institutions,I006,People,P001,1
Institutions,I006,People,P002,1
Institutions,I006,People,P010,1
Institutions,I007,People,P002,1
Institutions,I007,People,P010,1
Institutions,I008,People,P002,1
Institutions,I008,People,P003,1
Institutions,I008,People,P008,1
Institutions,I008,People,P009,1
Institutions,I008,People,P010,1
Institutions,I009,People,P001,1
Institutions,I009,People,P010,1
People,P001,Projects,PR002,1
People,P001,Projects,PR003,1
People,P001,Projects,PR005,1
People,P001,Projects,PR007,1
People,P001,Projects,PR008,1
People,P002,Projects,PR001,1
People,P002,Projects,PR004,1
People,P002,Projects,PR005,1
People,P002,Projects,PR007,1
People,P002,Projects,PR008,1
People,P002,Projects,PR009,1
People,P002,Projects,PR010,1
People,P003,Projects,PR001,1
People,P003,Projects,PR004,1
People,P003,Projects,PR008,1
People,P003,Projects,PR011,1
People,P003,Projects,PR015,1
People,P003,Projects,PR016,1
People,P003,Projects,PR017,1
People,P004,Projects,PR006,1
People,P004,Projects,PR008,1
People,P005,Projects,PD012,1
People,P005,Projects,PR008,1
People,P005,Projects,PR013,1
People,P005,Projects,PR014,1
People,P005,Projects,PR017,1
People,P006,Projects,PR008,1
People,P009,Projects,PR008,1
People,P010,Projects,PR002,1
People,P010,Projects,PR004,1
People,P010,Projects,PR007,1
People,P010,Projects,PR008,1
Projects,PR012,Methods,M005,1
Projects,PR001,Methods,M005,1
Projects,PR001,Methods,M009,1
Projects,PR002,Methods,M001,1
Projects,PR004,Methods,M003,1
Projects,PR004,Methods,M004,1
Projects,PR004,Methods,M006,1
Projects,PR004,Methods,M009,1
Projects,PR005,Methods,M005,1
Projects,PR005,Methods,M006,1
Projects,PR005,Methods,M008,1
Projects,PR005,Methods,M010,1
Projects,PR006,Methods,M005,1
Projects,PR006,Methods,M007,1
Projects,PR006,Methods,M008,1
Projects,PR007,Methods,M001,1
Projects,PR007,Methods,M010,1
Projects,PR008,Methods,M001,1
Projects,PR008,Methods,M003,1
Projects,PR008,Methods,M005,1
Projects,PR008,Methods,M008,1
Projects,PR008,Methods,M011,1
Projects,PR009,Methods,M012,1
Projects,PR010,Methods,M007,1
Projects,PR010,Methods,M008,1
Projects,PR011,Methods,M008,1
Projects,PR013,Methods,M005,1
Projects,PR014,Methods,M005,1
Projects,PR014,Methods,M011,1
Projects,PR014,Methods,M012,1
Projects,PR015,Methods,M002,1
Projects,PR015,Methods,M008,1
Projects,PR016,Methods,M008,1
Projects,PR016,Methods,M012,1
Projects,PR017,Methods,M002,1
Projects,PR017,Methods,M012,1
